Time,Vx,Vy,Rep,Block,Time,Condition,ID,pos x,pos y
3508.5497,88.58595143022455,79.63901615552203,1,1,81,square_left,1,38.99406279100979,4.266900007402968
3508.5537,89.2545984740724,79.4971017194613,1,1,82,square_left,1,39.365956951318424,4.5981379312340565
3508.5578,89.85119505982766,79.34278946552766,1,1,83,square_left,1,39.74033693073437,4.928732887340422
3508.5617,90.38816328611517,79.18305902491454,1,1,84,square_left,1,40.11695427775985,5.258662299944232
3508.5657,90.87925002004795,79.02522900173423,1,1,85,square_left,1,40.49561781951005,5.587934087451458
3508.5697,91.33926177645833,78.87678142945376,1,1,86,square_left,1,40.87619807691196,5.916587343407516
3508.5744,91.78364125239682,78.7450184981963,1,1,87,square_left,1,41.258629915463615,6.24469158715
3508.5787,92.22788426357283,78.63677690044696,1,1,88,square_left,1,41.642912766561835,6.572344824235196
3508.5827,92.68679478361094,78.55850862858823,1,1,89,square_left,1,42.02910774482688,6.89967194352098
3508.5868,93.17369530268991,78.51635780539077,1,1,90,square_left,1,42.417331475254755,7.226823434376775
3508.5908,93.69968115686618,78.51574794792363,1,1,91,square_left,1,42.807746813408365,7.55397238415979
3508.5947,94.2729314585722,78.56082499469473,1,1,92,square_left,1,43.20055069448575,7.881309154971018
3508.5997,94.89814824457028,78.65424578237644,1,1,93,square_left,1,43.59595964550479,8.209035179064253
3508.6037,95.57627054120019,78.79713854307724,1,1,94,square_left,1,43.994194106093126,8.537356589660408
3508.6078,96.30451333908127,78.98904527945746,1,1,95,square_left,1,44.39546291167263,8.866477611658148
3508.6117,97.07658929741854,79.22805642554209,1,1,96,square_left,1,44.799948700411875,9.19659451343124
3508.6157,97.88299648421855,79.51102473750922,1,1,97,square_left,1,45.20779451909612,9.527890449837528
3508.6197,98.71155496829203,79.83351701383626,1,1,98,square_left,1,45.619092664797336,9.860530104061846
3508.6244,99.54830197565173,80.18958967459653,1,1,99,square_left,1,46.03387725636255,10.194653394372665
3508.6287,100.3784402784953,80.57171358602858,1,1,100,square_left,1,46.45212075752295,10.530368867647784
3508.6328,101.18716711622767,80.97112308978026,1,1,101,square_left,1,46.87373395384056,10.867748547188535
3508.6367,101.96037969709778,81.37858949730585,1,1,102,square_left,1,47.29856886924514,11.20682600342731
3508.6408,102.68507127511157,81.78507140445006,1,1,103,square_left,1,47.726423332891436,11.547597134279185
3508.6447,103.34938430013665,82.18181708486043,1,1,104,square_left,1,48.15704576747534,11.89002137213277
3508.6497,103.94252944179584,82.56027247844074,1,1,105,square_left,1,48.59013964014949,12.234022507459606
3508.6537,104.45475821336004,82.91218860020109,1,1,106,square_left,1,49.02536779937182,12.579489959960444
3508.6578,104.87736006152318,83.22995335300178,1,1,107,square_left,1,49.46235679962817,12.926281432264618
3508.6618,105.20253911530972,83.50704593508141,1,1,108,square_left,1,49.900700712608625,13.274227456994124
3508.6658,105.42331591823938,83.73816344318087,1,1,109,square_left,1,50.33996452893462,13.623136471340711
3508.6698,105.53361026698724,83.9188775286398,1,1,110,square_left,1,50.77968790504707,13.972798461043377
3508.6738,105.52827168493934,84.04544676416947,1,1,111,square_left,1,51.21938903706765,14.32298782256075
3508.6788,105.40304243754633,84.11496632758826,1,1,112,square_left,1,51.658568380557426,14.6734668489257
3508.6828,105.15475536856343,84.1253896376962,1,1,113,square_left,1,52.09671319459311,15.023989305749435
3508.6868,104.7816381217649,84.07509046856688,1,1,114,square_left,1,52.533303353433794,15.374302182701797
3508.6907,104.2833754571302,83.96231541012185,1,1,115,square_left,1,52.9678174178385,15.724145163577305
3508.6948,103.6609240280211,83.78521080502253,1,1,116,square_left,1,53.399737934621925,16.073250208598232
3508.6988,102.91638198966496,83.54205041659043,1,1,117,square_left,1,53.828556192912195,16.421342085334025
3508.7038,102.05295672310967,83.2312002901827,1,1,118,square_left,1,54.25377684592515,16.768138753209787
3508.7078,101.07464188006134,82.85113179331688,1,1,119,square_left,1,54.674921187092075,17.113351802348607
3508.7117,99.9860094055748,82.40007539003756,1,1,120,square_left,1,55.0915295596153,17.456685449807097
3508.7158,98.79264456332862,81.87534030909518,1,1,121,square_left,1,55.50316557862917,17.797832701094993
3508.7197,97.50112347235984,81.27365147906119,1,1,122,square_left,1,55.909420259764005,18.13647291559108
3508.7244,96.11794325142228,80.59244957578841,1,1,123,square_left,1,56.309911689978264,18.472274788823533
